#Draine & li (2006) dust model effective quantities
#  wave      Cabs     Cscat    Tau      albedo    g
#  [um]     [cm^2]    [cm^2]   [/N_H]             
#
      0.46526824   4.3168057e-16   8.1135049e-16   6.0086667e-22      0.65271940      0.56298689
      0.46962095   4.2524985e-16   8.0316899e-16   5.9380330e-22      0.65382341      0.56206002
      0.47401437   4.1897846e-16   7.9507578e-16   5.8685962e-22      0.65489313      0.56109356
      0.47844890   4.1288935e-16   7.8735675e-16   5.8018492e-22      0.65599609      0.55987208
      0.48292491   4.0702066e-16   7.7960957e-16   5.7360317e-22      0.65699453      0.55868927
      0.48744280   4.0121693e-16   7.7178994e-16   5.6701780e-22      0.65795858      0.55756572
      0.49200295   3.9549235e-16   7.6389717e-16   5.6043533e-22      0.65887880      0.55650016
      0.49660576   3.8983316e-16   7.5593058e-16   5.5384879e-22      0.65976131      0.55549642
      0.50125164   3.8424194e-16   7.4789819e-16   5.4726330e-22      0.66060567      0.55445196
      0.50594097   3.7885518e-16   7.3984325e-16   5.4076574e-22      0.66134289      0.55283475
      0.51067418   3.7359093e-16   7.3171978e-16   5.3429427e-22      0.66200370      0.55119885
      0.51545167   3.6837704e-16   7.2352095e-16   5.2781071e-22      0.66262687      0.54960485
      0.52027385   3.6321504e-16   7.1524543e-16   5.2131518e-22      0.66320969      0.54806407
      0.52514115   3.5810695e-16   7.0689251e-16   5.1480828e-22      0.66374917      0.54658052
      0.53005398   3.5304877e-16   6.9847126e-16   5.0829248e-22      0.66424913      0.54515175
      0.53501277   3.4818861e-16   6.9059614e-16   5.0213640e-22      0.66481159      0.54338837
      0.54001795   3.4342219e-16   6.8273797e-16   4.9603382e-22      0.66533276      0.54160398
      0.54506996   3.3868490e-16   6.7483048e-16   4.8992148e-22      0.66583152      0.53984325
      0.55016923   3.3398247e-16   6.6684903e-16   4.8379024e-22      0.66629501      0.53812556
      0.55531620   3.2934807e-16   6.5879293e-16   4.7765580e-22      0.66669931      0.53645446
      0.56051133   3.2476789e-16   6.5066147e-16   4.7151114e-22      0.66705135      0.53484960
      0.56575506   3.2040679e-16   6.4281233e-16   4.6560886e-22      0.66735835      0.53288174
      0.57104784   3.1611442e-16   6.3499726e-16   4.5975626e-22      0.66763691      0.53081778
      0.57639014   3.1188005e-16   6.2714090e-16   4.5391174e-22      0.66786678      0.52874652
      0.58178242   3.0770368e-16   6.1921105e-16   4.4805973e-22      0.66803454      0.52670857
      0.58722514   3.0356755e-16   6.1120702e-16   4.4219133e-22      0.66815043      0.52470903
      0.59271878   2.9951330e-16   6.0312812e-16   4.3632631e-22      0.66818131      0.52278105
      0.59826382   2.9559305e-16   5.9539190e-16   4.3069170e-22      0.66824013      0.52059386
      0.60386073   2.9175641e-16   5.8781102e-16   4.2517261e-22      0.66829557      0.51827272
      0.60951001   2.8797641e-16   5.8024268e-16   4.1968695e-22      0.66831366      0.51591772
      0.61521213   2.8424524e-16   5.7260355e-16   4.1419068e-22      0.66826674      0.51359104
      0.62096760   2.8055552e-16   5.6489296e-16   4.0867990e-22      0.66815776      0.51131744
      0.62677691   2.7691247e-16   5.5711024e-16   4.0315682e-22      0.66797970      0.50909365
      0.63264057   2.7339631e-16   5.4957102e-16   3.9781278e-22      0.66779203      0.50671729
      0.63855908   2.6999164e-16   5.4222832e-16   3.9261763e-22      0.66758803      0.50420684
      0.64453297   2.6665413e-16   5.3493847e-16   3.8748048e-22      0.66734457      0.50164118
      0.65056274   2.6334618e-16   5.2758042e-16   3.8232467e-22      0.66704093      0.49910033
      0.65664892   2.6009180e-16   5.2015354e-16   3.7716147e-22      0.66665383      0.49660949
      0.66279204   2.5686192e-16   5.1265719e-16   3.7197654e-22      0.66620462      0.49414507
      0.66899263   2.5370723e-16   5.0535547e-16   3.6692203e-22      0.66576249      0.49158666
      0.67525123   2.5063900e-16   4.9831473e-16   3.6203547e-22      0.66534782      0.48889952
      0.68156837   2.4762613e-16   4.9138873e-16   3.5723114e-22      0.66492402      0.48614401
      0.68794462   2.4464817e-16   4.8439794e-16   3.5241236e-22      0.66442703      0.48343038
      0.69438052   2.4169782e-16   4.7734176e-16   3.4757532e-22      0.66386020      0.48074536
      0.70087663   2.3876833e-16   4.7021956e-16   3.4271645e-22      0.66322651      0.47808328
      0.70743351   2.3592198e-16   4.6322574e-16   3.3795983e-22      0.66255776      0.47538716
      0.71405173   2.3321390e-16   4.5653299e-16   3.3341558e-22      0.66188481      0.47260397
      0.72073187   2.3060884e-16   4.5003249e-16   3.2901406e-22      0.66118889      0.46976725
      0.72747450   2.2802520e-16   4.4347118e-16   3.2459349e-22      0.66042229      0.46696680
      0.73428021   2.2545403e-16   4.3684848e-16   3.2014929e-22      0.65959056      0.46418199
      0.74114959   2.2289351e-16   4.3016384e-16   3.1568028e-22      0.65869229      0.46141547
      0.74808324   2.2035785e-16   4.2351856e-16   3.1124233e-22      0.65776374      0.45863782
      0.75508175   2.1787848e-16   4.1712227e-16   3.0695194e-22      0.65688469      0.45578589
      0.76214573   2.1545874e-16   4.1095157e-16   3.0279942e-22      0.65604215      0.45289130
      0.76927580   2.1304412e-16   4.0472314e-16   2.9862147e-22      0.65513854      0.45001545
      0.77647257   2.1063482e-16   3.9843645e-16   2.9441792e-22      0.65417049      0.44715670
      0.78373668   2.0823081e-16   3.9209094e-16   2.9018851e-22      0.65313466      0.44431793
      0.79106873   2.0584944e-16   3.8574127e-16   2.8596803e-22      0.65204079      0.44148664
      0.79846938   2.0360176e-16   3.7971986e-16   2.8197085e-22      0.65096140      0.43859286
      0.80593927   2.0147300e-16   3.7398241e-16   2.7816841e-22      0.64988947      0.43564096
      0.81347904   1.9935922e-16   3.6822940e-16   2.7436570e-22      0.64876107      0.43269325
      0.82108935   1.9724802e-16   3.6242258e-16   2.7053822e-22      0.64756409      0.42976229
      0.82877085   1.9513890e-16   3.5656143e-16   2.6668549e-22      0.64629549      0.42685101
      0.83652421   1.9303023e-16   3.5064546e-16   2.6280647e-22      0.64495335      0.42396302
      0.84435011   1.9097639e-16   3.4499612e-16   2.5908284e-22      0.64368249      0.42095370
      0.85224922   1.8896415e-16   3.3955276e-16   2.5547889e-22      0.64246338      0.41780862
      0.86022223   1.8696497e-16   3.3413486e-16   2.5189356e-22      0.64121085      0.41463578
      0.86826983   1.8496603e-16   3.2866628e-16   2.4828385e-22      0.63988631      0.41148252
      0.87639272   1.8296626e-16   3.2314654e-16   2.4464901e-22      0.63848720      0.40835220
      0.88459160   1.8096912e-16   3.1757517e-16   2.4099048e-22      0.63700493      0.40527680
      0.89286718   1.7907306e-16   3.1224137e-16   2.3749565e-22      0.63552249      0.40213268
      0.90122018   1.7728439e-16   3.0717164e-16   2.3418038e-22      0.63405473      0.39887684
      0.90965133   1.7554890e-16   3.0220400e-16   2.3094017e-22      0.63255294      0.39557531
      0.91816135   1.7381742e-16   2.9718989e-16   2.2767943e-22      0.63096662      0.39229045
      0.92675099   1.7209241e-16   2.9212888e-16   2.2439914e-22      0.62928798      0.38903221
      0.93542098   1.7038330e-16   2.8702052e-16   2.2110365e-22      0.62749917      0.38584180
      0.94417209   1.6872429e-16   2.8205157e-16   2.1789978e-22      0.62570247      0.38255668
      0.95300506   1.6713695e-16   2.7729766e-16   2.1483449e-22      0.62393353      0.37912170
      0.96192067   1.6561898e-16   2.7268301e-16   2.1187006e-22      0.62213500      0.37558583
      0.97091968   1.6415302e-16   2.6802520e-16   2.0890990e-22      0.62017285      0.37207213
      0.98000288   1.6279022e-16   2.6332381e-16   2.0597854e-22      0.61796560      0.36862305
      0.98917106   1.6158127e-16   2.5857845e-16   2.0310029e-22      0.61542894      0.36522448
      0.99842501   1.6064253e-16   2.5394812e-16   2.0040827e-22      0.61252737      0.36179127
       1.0077655   1.6012300e-16   2.4955566e-16   1.9803387e-22      0.60914976      0.35826083
       1.0171934   1.6016553e-16   2.4540617e-16   1.9604861e-22      0.60508702      0.35462414
       1.0267095   1.6092654e-16   2.4121786e-16   1.9439190e-22      0.59982897      0.35102049
       1.0363147   1.6189698e-16   2.3699037e-16   1.9281748e-22      0.59412857      0.34748121
       1.0460097   1.6188235e-16   2.3272334e-16   1.9074777e-22      0.58976174      0.34397306
       1.0557954   1.6019391e-16   2.2852165e-16   1.8790055e-22      0.58788913      0.34046890
       1.0656726   1.5689656e-16   2.2450414e-16   1.8436464e-22      0.58863065      0.33693451
       1.0756422   1.5285277e-16   2.2076617e-16   1.8060303e-22      0.59088592      0.33333957
       1.0857051   1.4919127e-16   2.1699323e-16   1.7700931e-22      0.59257896      0.32981961
       1.0958622   1.4620735e-16   2.1318500e-16   1.7372606e-22      0.59318180      0.32634627
       1.1061143   1.4370317e-16   2.0934113e-16   1.7065749e-22      0.59295996      0.32291567
       1.1164623   1.4155137e-16   2.0552354e-16   1.6777195e-22      0.59215904      0.31951874
       1.1269070   1.3966483e-16   2.0184387e-16   1.6508131e-22      0.59103581      0.31613261
       1.1374495   1.3806882e-16   1.9853280e-16   1.6270929e-22      0.58981534      0.31271430
       1.1480907   1.3658410e-16   1.9519075e-16   1.6037608e-22      0.58832292      0.30935446
       1.1588314   1.3517117e-16   1.9181744e-16   1.5806247e-22      0.58661810      0.30602805
       1.1696725   1.3381810e-16   1.8841257e-16   1.5576254e-22      0.58471333      0.30273981
       1.1806151   1.3252280e-16   1.8499613e-16   1.5348493e-22      0.58263024      0.29949071
       1.1916601   1.3129605e-16   1.8161763e-16   1.5125881e-22      0.58040810      0.29627736
       1.2028084   1.3024453e-16   1.7858008e-16   1.4928220e-22      0.57825728      0.29308767
       1.2140609   1.2922115e-16   1.7551410e-16   1.4730546e-22      0.57595603      0.28994169
       1.2254188   1.2820374e-16   1.7241945e-16   1.4531773e-22      0.57354009      0.28684263
       1.2368829   1.2715684e-16   1.6929584e-16   1.4330176e-22      0.57107205      0.28379627
       1.2484543   1.2603862e-16   1.6615302e-16   1.4124202e-22      0.56864400      0.28080678
       1.2601339   1.2479886e-16   1.6306423e-16   1.3914965e-22      0.56646454      0.27789921
       1.2719227   1.2350346e-16   1.6033687e-16   1.3720509e-22      0.56488402      0.27498306
       1.2838219   1.2207927e-16   1.5763639e-16   1.3521128e-22      0.56355940      0.27209259
       1.2958324   1.2056773e-16   1.5491065e-16   1.3316302e-22      0.56233324      0.26923878
       1.3079552   1.1902511e-16   1.5215941e-16   1.3108742e-22      0.56109179      0.26642634
       1.3201915   1.1748381e-16   1.4938243e-16   1.2900002e-22      0.55976517      0.26366501
       1.3325422   1.1600245e-16   1.4661693e-16   1.2694714e-22      0.55828678      0.26099448
       1.3450085   1.1462230e-16   1.4407546e-16   1.2505147e-22      0.55692581      0.25829054
       1.3575914   1.1329898e-16   1.4159148e-16   1.2321107e-22      0.55549934      0.25560408
       1.3702920   1.1200234e-16   1.3908427e-16   1.2137233e-22      0.55392946      0.25296006
       1.3831115   1.1071961e-16   1.3655360e-16   1.1952898e-22      0.55223775      0.25036362
       1.3960508   1.0946400e-16   1.3399926e-16   1.1768729e-22      0.55038802      0.24785463
       1.4091112   1.0822840e-16   1.3144037e-16   1.1585308e-22      0.54842510      0.24541820
       1.4222938   1.0706898e-16   1.2907627e-16   1.1414985e-22      0.54659695      0.24293235
